Season,League,Nickname,Place,Points,Rating_start,Rating_end,Rating_delta,Games,Wins,Losses,Draws,Winrate,MVP1,MVP2,MVP3,MVP_total,Rank
spring_2026,sundaygames,Pantazi_ko,1,1438,1000,1438,438,71,40,31,0,56.3,40,12,6,58,S
spring_2026,sundaygames,Sem,2,1310,1000,1310,310,145,68,77,0,46.9,33,32,32,97,S
spring_2026,sundaygames,Zavodchanyn,3,1262,1000,1262,262,96,52,44,0,54.2,22,19,15,56,S
spring_2026,sundaygames,Bogd,4,1173,800,1173,373,90,53,37,0,58.9,13,16,14,43,A
spring_2026,sundaygames,Justy,5,1150,1000,1150,150,140,65,75,0,46.4,23,29,17,69,A
spring_2026,sundaygames,Laston,6,1124,800,1124,324,69,39,30,0,56.5,15,11,8,34,A
spring_2026,sundaygames,Leres,7,953,600,953,353,41,28,13,0,68.3,7,5,8,20,B
spring_2026,sundaygames,Slavon,8,943,800,943,143,77,34,43,0,44.2,8,14,13,35,B
spring_2026,sundaygames,Оксанка,9,873,600,873,273,178,82,96,0,46.1,6,14,27,47,B
spring_2026,sundaygames,Gidora,10,838,600,838,238,22,17,5,0,77.3,3,4,6,13,B
spring_2026,sundaygames,Temostar,11,818,400,818,418,66,40,26,0,60.6,6,6,6,18,B
spring_2026,sundaygames,Сocosik,12,751,600,751,151,94,40,54,0,42.6,2,4,5,11,C
spring_2026,sundaygames,Voron,13,735,400,735,335,65,27,38,0,41.5,12,14,7,33,C
spring_2026,sundaygames,Wolfie,14,702,400,702,302,138,60,78,0,43.5,1,7,9,17,C
spring_2026,sundaygames,Кицюня,15,635,400,635,235,47,25,22,0,53.2,1,5,4,10,C
spring_2026,sundaygames,Morti,16,625,600,625,25,6,3,3,0,50,0,1,0,1,C
spring_2026,sundaygames,wiedii,17,470,400,470,70,7,5,2,0,71.4,0,1,1,2,D
spring_2026,sundaygames,Люся,23,387,400,387,-13,7,1,6,0,14.3,0,0,1,1,E
spring_2026,sundaygames,Vladislove,24,370,1,370,369,30,18,12,0,60,3,3,4,10,E
spring_2026,sundaygames,Doshuca,25,345,200,345,145,15,9,6,0,60,1,0,3,4,E
spring_2026,sundaygames,Kasstiel57,26,338,1,338,337,30,17,13,0,56.7,1,4,7,12,E
spring_2026,sundaygames,Джокер,27,324,200,324,124,29,12,17,0,41.4,0,0,0,0,E
spring_2026,sundaygames,Dashkiss,28,316,1,316,315,28,13,15,0,46.4,5,4,5,14,E
spring_2026,sundaygames,Pobi,29,299,1,299,298,17,12,5,0,70.6,7,1,1,9,E
spring_2026,sundaygames,28,30,208,1,208,207,14,9,5,0,64.3,1,3,2,6,E
spring_2026,sundaygames,DAndy,31,207,200,207,7,5,1,4,0,20,0,1,0,1,E
spring_2026,sundaygames,Ice,34,178,1,178,177,14,7,7,0,50,2,1,2,5,F
spring_2026,sundaygames,Reabilitator,35,166,1,166,165,8,5,3,0,62.5,4,2,1,7,F
spring_2026,sundaygames,Слабак,36,163,1,163,162,8,5,3,0,62.5,4,2,0,6,F
spring_2026,sundaygames,Kozlovets,37,161,1,161,160,14,8,6,0,57.1,0,0,0,0,F
spring_2026,sundaygames,Springmay,38,157,1,157,156,18,7,11,0,38.9,0,1,3,4,F
spring_2026,sundaygames,Virus,39,148,1,148,147,14,7,7,0,50,0,1,0,1,F
spring_2026,sundaygames,Окуляри,40,127,1,127,126,8,5,3,0,62.5,1,2,0,3,F
spring_2026,sundaygames,Коломба,41,125,1,125,124,8,5,3,0,62.5,2,0,0,2,F
spring_2026,sundaygames,Клінт,42,113,1,113,112,9,5,4,0,55.6,0,0,4,4,F
spring_2026,sundaygames,Бджола,43,104,1,104,103,8,5,3,0,62.5,0,0,1,1,F
spring_2026,sundaygames,Чайка,44,103,1,103,102,5,4,1,0,80,1,1,1,3,F
spring_2026,sundaygames,terik,45,101,1,101,100,14,5,9,0,35.7,0,0,0,0,F
spring_2026,sundaygames,Ліса,46,100,1,100,99,8,4,4,0,50,0,1,4,5,F
spring_2026,sundaygames,abyellowbee,47,96,1,96,95,5,4,1,0,80,1,0,1,2,F
spring_2026,sundaygames,Вор,48,94,1,94,93,8,4,4,0,50,0,1,2,3,F
spring_2026,sundaygames,whey,49,91,1,91,90,7,4,3,0,57.1,0,1,1,2,F
spring_2026,sundaygames,Eks,50,87,1,87,86,5,3,2,0,60,1,2,0,3,F
spring_2026,sundaygames,iBolit,51,86,1,86,85,5,3,2,0,60,1,1,2,4,F
spring_2026,sundaygames,Данте,52,84,1,84,83,8,4,4,0,50,0,0,1,1,F
spring_2026,sundaygames,DarkFox,53,84,1,84,83,7,4,3,0,57.1,0,0,1,1,F
spring_2026,sundaygames,Альфа,54,81,1,81,80,8,4,4,0,50,0,0,0,0,F
spring_2026,sundaygames,Пупсінь,55,81,1,81,80,7,4,3,0,57.1,0,0,0,0,F
spring_2026,sundaygames,Рижа,56,81,1,81,80,7,4,3,0,57.1,0,0,0,0,F
spring_2026,sundaygames,Filya23,57,81,1,81,80,7,4,3,0,57.1,0,0,0,0,F
spring_2026,sundaygames,Маквін,58,80,1,80,79,3,3,0,0,100,1,1,0,2,F
spring_2026,sundaygames,Otg 141,59,75,1,75,74,4,2,2,0,50,2,1,1,4,F
spring_2026,sundaygames,ArtHouse25,60,71,1,71,70,10,3,7,0,30,0,1,1,2,F
spring_2026,sundaygames,Захбой,61,64,1,64,63,7,3,4,0,42.9,0,0,1,1,F
spring_2026,sundaygames,Блонда,62,61,1,61,60,8,3,5,0,37.5,0,0,0,0,F
spring_2026,sundaygames,Вуйко,63,61,1,61,60,8,3,5,0,37.5,0,0,0,0,F
spring_2026,sundaygames,Ді,64,61,1,61,60,8,3,5,0,37.5,0,0,0,0,F
spring_2026,sundaygames,Снайпер,65,61,1,61,60,7,3,4,0,42.9,0,0,0,0,F
spring_2026,sundaygames,Рибулічка,66,59,1,59,58,3,2,1,0,66.7,1,0,2,3,F
spring_2026,sundaygames,Бойчак,67,51,1,51,50,3,2,1,0,66.7,0,1,1,2,F
spring_2026,sundaygames,Мала,68,48,1,48,47,3,2,1,0,66.7,0,1,0,1,F
spring_2026,sundaygames,Rose,69,48,1,48,47,5,2,3,0,40,0,1,0,1,F
spring_2026,sundaygames,Блондік,70,41,1,41,40,7,2,5,0,28.6,0,0,0,0,F
spring_2026,sundaygames,Браво,71,41,1,41,40,8,2,6,0,25,0,0,0,0,F
spring_2026,sundaygames,Лакі Пельмень,72,41,1,41,40,7,2,5,0,28.6,0,0,0,0,F
spring_2026,sundaygames,Джон вік,73,21,1,21,20,5,1,4,0,20,0,0,0,0,F
spring_2026,sundaygames,Машука,74,21,1,21,20,3,1,2,0,33.3,0,0,0,0,F
spring_2026,sundaygames,Чак,75,21,1,21,20,3,1,2,0,33.3,0,0,0,0,F
spring_2026,sundaygames,Denys 03,76,21,1,21,20,5,1,4,0,20,0,0,0,0,F
spring_2026,sundaygames,Приміальний Пампух,77,13,1,13,12,3,0,3,0,0,1,0,0,1,F
spring_2026,kids,Missagen,1,857,600,857,257,26,13,13,0,50,13,8,3,24,B
spring_2026,kids,Makasino,2,854,600,854,254,24,13,11,0,54.2,11,6,6,23,B
spring_2026,kids,Баранчік,4,779,600,779,179,25,13,12,0,52,7,5,2,14,C
spring_2026,kids,Ульман,5,718,400,718,318,33,18,15,0,54.5,6,12,10,28,C
spring_2026,kids,Gandzubasik,6,450,200,450,250,32,14,18,0,43.8,2,7,11,20,D
spring_2026,kids,Davud,7,364,200,364,164,25,12,13,0,48,1,0,4,5,E
spring_2026,kids,Фіолетово,8,320,200,320,120,25,11,14,0,44,0,0,0,0,E
spring_2026,kids,Артемон,9,276,200,276,76,8,4,4,0,50,0,3,1,4,E
spring_2026,kids,Герман супер про,11,141,1,141,140,10,7,3,0,70,0,0,0,0,F
spring_2026,kids,Шаурмятко,12,110,1,110,109,7,5,2,0,71.4,0,0,3,3,F
spring_2026,kids,Ая,13,101,1,101,100,8,5,3,0,62.5,0,0,0,0,F
spring_2026,kids,igorDenis1216,14,101,1,101,100,8,5,3,0,62.5,0,0,0,0,F
spring_2026,kids,шавуха,15,93,1,93,92,8,4,4,0,50,1,0,0,1,F
spring_2026,kids,Альфа,16,81,1,81,80,8,4,4,0,50,0,0,0,0,F
spring_2026,kids,Стрілець,17,81,1,81,80,8,4,4,0,50,0,0,0,0,F
spring_2026,kids,ТЦК Фон,18,61,1,61,60,8,3,5,0,37.5,0,0,0,0,F
spring_2026,kids,IGORIUS_777,19,41,1,41,40,2,2,0,0,100,0,0,0,0,F
spring_2026,kids,Блакитна блискавка,20,24,1,24,23,7,1,6,0,14.3,0,0,1,1,F